month,commodity_name,avg_modal_price
2010-11-01,coconut,3347.17
2010-11-01,ginger(dry),2964.26
2010-11-01,wheat,1267.93
2010-12-01,wheat,1293.93
2010-12-01,sugarcane,3778.57
2010-12-01,jowar(sorghum),1228.09
2010-12-01,sugar,3131.62
2010-12-01,barley (jau),1199.93
2010-12-01,sunflower,2904.34
2010-12-01,tea,16275.86
2010-12-01,groundnut,2904.93
2010-12-01,coffee,16698.33
2010-12-01,turmeric,15658.29
2010-12-01,cotton,4152.68
2010-12-01,rice,1964.87
2010-12-01,ginger(dry),2857.19
2010-12-01,coconut,3996.24
2010-12-01,maize,904.58
2011-01-01,tea,16360.9
2011-01-01,sugar,3126.48
2011-01-01,sugarcane,336.67
2011-01-01,wheat,1317.93
2011-01-01,jowar(sorghum),1278.57
2011-01-01,maize,938.75
2011-01-01,sunflower,3083.62
2011-01-01,rice,1963.52
2011-01-01,barley (jau),1240.8
2011-01-01,coconut,3668.53
2011-01-01,ginger(dry),2995.06
2011-01-01,turmeric,15212.5
2011-01-01,coffee,15279.51
2011-01-01,cotton,4716.44
2011-01-01,groundnut,2989.14
2011-02-01,sunflower,3066.4
2011-02-01,coffee,13323.68
2011-02-01,rice,1955.19
2011-02-01,coconut,4110.97
2011-02-01,sugarcane,271.38
2011-02-01,tea,16641.79
2011-02-01,sugar,3049.75
2011-02-01,jowar(sorghum),1377.23
2011-02-01,maize,951.73
2011-02-01,millets,1125.0
2011-02-01,barley (jau),1279.47
2011-02-01,ginger(dry),2908.13
2011-02-01,wheat,1311.63
2011-02-01,groundnut,3011.07
2011-02-01,turmeric,13224.23
2011-02-01,cotton,5824.53
2011-03-01,rice,1971.7
2011-03-01,sugar,3012.06
2011-03-01,tea,16446.15
2011-03-01,sugarcane,659.16
2011-03-01,sunflower,2902.4
2011-03-01,coffee,13470.59
2011-03-01,cotton,5885.83
2011-03-01,wheat,1262.22
2011-03-01,coconut,3803.09
2011-03-01,maize,1004.07
2011-03-01,millets,1075.0
2011-03-01,groundnut,3110.1
2011-03-01,turmeric,12378.6
2011-03-01,ginger(dry),2860.94
2011-03-01,barley (jau),1100.05
2011-03-01,jowar(sorghum),1464.14
2011-04-01,jowar(sorghum),1746.77
2011-04-01,maize,1088.7
2011-04-01,sugarcane,3044.0
2011-04-01,cotton,5299.94
2011-04-01,turmeric,11008.17
2011-04-01,coconut,4430.82
2011-04-01,ginger(dry),2946.64
2011-04-01,rice,1938.23
2011-04-01,barley (jau),1014.99
2011-04-01,groundnut,3259.93
2011-04-01,sunflower,2769.32
2011-04-01,coffee,15363.95
2011-04-01,tea,17080.65
2011-04-01,wheat,1213.22
2011-04-01,sugar,3015.41
2011-05-01,ginger(dry),3115.47
